Title,Genre,Description
Uri: The Surgical Strike,"Action,Drama,War",Indian army special forces execute a covert operation  avenging the killing of fellow army men at their base by a terrorist group.
Battalion 609,War,The story of Battalion 609 revolves around a cricket match between the Indian Army and the Pakistan army gone wrong and narrates the tale of the brave soldiers of Battalion 609 putting up a fight with the mighty Taliban.
The Accidental Prime Minister,"Biography,Drama",Explores Manmohan Singh's tenure as the Prime Minister of India and the kind of control he had over the cabinet and the country.
Why Cheat India,"Crime,Drama",The movie focuses on existing malpractices in country's education system  the whole concept of buying your way through education  jobs and earnings. Even with an evolving education system  ...                    
Evening Shadows,Drama,Under the 'Evening Shadows'  truth often plays hide and seek. Set in South India and Mumbai  'Evening Shadows' is a tender heartwarming story about a mother-son bond that has to withstand the ravages of time  distance and truths.
Soni,Drama,While fighting crimes against women in Delhi  a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.
Fraud Saiyyan,"Comedy,Drama",Fraud Saiyyan is the story of a con artist in North India who convinces women to marry him just so he can live off their money.
Bombairiya,"Comedy,Crime,Drama",It follows the story of Meghna  who gets embroiled in a series of events after her phone gets stolen.
Manikarnika: The Queen of Jhansi,"Action,Biography,Drama",Story of Rani Lakshmibai  one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Rule.
Thackeray,"Biography,Drama",Biographical account of Shiv Sena Supremo  Balasaheb Thackeray.
Amavas,"Horror,Thriller",The lives of a couple turn into a nightmare  as dark forces lie in wait beneath the shadows of the haunted bungalow in which they have decided to stay.
Gully Boy,"Drama,Music",A coming-of-age story based on the lives of street rappers in Mumbai.
Hum chaar,Drama,The story of the film revolves around four college friends went their own direction in life  but remained inseparable from each other.
Total Dhamaal,"Action,Adventure,Comedy",A group of people learn about a hidden treasure and then they race to find it and claim it.
Sonchiriya,"Action,Crime,Drama",Set in the Chambal valley  the film follows the story of a legion of dreaded  warring dacoits who once terrorized the Indian heartlands.
Badla,"Crime,Drama,Mystery",A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.
Mard Ko Dard Nahin Hota,"Action,Comedy",It is a story of a young boy Surya who has a rare condition of Congenital Insensitivity to pain meaning he can not feel pain  and he sets out to learn martial arts and hunt down muggers.
Hamid,Drama,Eight year-old Hamid learns that 786 is God's number and decides to try and reach out to God  by dialing this number. He wants to talk to his father  who his mother tells him has gone to Allah. One fine day the phone call is answered.
